基金人格,人格說明,基金代碼,名稱,ISINCode,類型(核心/衛星/ETF),風險等級
"口袋獒","藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","C0019140","匯豐環球投資基金-氣候轉型環球企業債券AC","LU1674672883","衛星基金","RR2"
"口袋獒","藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","C0115005","摩根大龍騰基金","TW000C011502","衛星基金","RR4"
"口袋獒","藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","C0048103","M&G短期優質債券基金A(美元避險)","LU1670717831","衛星基金","RR2"
"口袋獒","藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","0056","元大高股息","TW00000056A1","ETF","RR4"
"口袋阿金","黃金獵犬型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","92017204","元大台灣高股息優質龍頭基金","TW0009201720","核心基金","RR4"
"口袋阿金","黃金獵犬型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","C0109017","PGIM全球精選不動產證券基金A美元季配息型","IE00BMQ64708","核心基金","RR4"
"口袋阿金","黃金獵犬型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","C0085007","摩根士丹利環球平衡收益基金A(歐元)","LU1078119317","核心基金","RR3"
"口袋阿金","黃金獵犬型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","C0012019","首源投資環球傘型基金-首源全球基建基金第一類股(美元-配息型)","IE00B29SXL02","衛星基金","RR4"
"口袋阿金","黃金獵犬型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","C0025227","安聯智慧城市收益基金-AMf2固定月配類股(美元)","LU2473716301","衛星基金","RR4"
"口袋阿金","黃金獵犬型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","81584335","摩根台灣金磚基金","TW0008158435","衛星基金","RR4"
"口袋阿金","黃金獵犬型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","00646","元大S&P500","TW00000646B8","ETF","RR4"
"口袋柴","柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以旁觀者視角看待波動。這種傲嬌而固執的氣質，使他們偏好有長期邏輯、能經得起時間考驗的基金，而非短線熱門題材。","C0054008","法盛漢瑞斯全球股票基金-R/A美元級別","LU0130103400","核心基金","RR3"
"口袋柴","柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以旁觀者視角看待波動。這種傲嬌而固執的氣質，使他們偏好有長期邏輯、能經得起時間考驗的基金，而非短線熱門題材。","98638122","保德信高成長基金","TW000T0803Y3","核心基金","RR4"
"口袋柴","柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以旁觀者視角看待波動。這種傲嬌而固執的氣質，使他們偏好有長期邏輯、能經得起時間考驗的基金，而非短線熱門題材。","C0016405","富達基金-全球動能多元基金(A股美元)","LU0080751232","核心基金","RR3"
"口袋柴","柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以旁觀者視角看待波動。這種傲嬌而固執的氣質，使他們偏好有長期邏輯、能經得起時間考驗的基金，而非短線熱門題材。","C0115005","摩根大龍騰基金","TW000C011502","衛星基金","RR4"
"口袋柴","柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以旁觀者視角看待波動。這種傲嬌而固執的氣質，使他們偏好有長期邏輯、能經得起時間考驗的基金，而非短線熱門題材。","C0048115","M&G環球股息基金A(美元季配)","LU1670711123","衛星基金","RR3"
"口袋柴","柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以旁觀者視角看待波動。這種傲嬌而固執的氣質，使他們偏好有長期邏輯、能經得起時間考驗的基金，而非短線熱門題材。","C0016052","富達基金-永續發展全球健康護理基金(A股歐元)","LU0114720955","衛星基金","RR3"
"口袋柴","柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以旁觀者視角看待波動。這種傲嬌而固執的氣質，使他們偏好有長期邏輯、能經得起時間考驗的基金，而非短線熱門題材。","00713","元大台灣高息低波","TW00000713Y5","ETF","RR4"
"口袋土狗","台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","C0109017","PGIM全球精選不動產證券基金A美元季配息型","IE00BMQ64708","核心基金","RR4"
"口袋土狗","台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","92017204","元大台灣高股息優質龍頭基金","TW0009201720","核心基金","RR4"
"口袋土狗","台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","C0019101","匯豐環球投資基金-亞洲小型公司股票(日本除外)AC","LU0164939612","核心基金","RR5"
"口袋土狗","台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","C0054038","法盛新興亞洲股票基金-R/A美元級別","LU0084288249","衛星基金","RR5"
"口袋土狗","台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","98642423","保德信科技島基金","TW000T0815Y7","衛星基金","RR4"
"口袋土狗","台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","C0016262","富達基金-亞洲小型企業基金(A股美元)","LU0702159343","衛星基金","RR5"
"口袋土狗","台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","0050","元大台灣50","TW00000050A4","ETF","RR4"
"口袋西施","西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","C0038019","摩根士丹利環球品牌基金A(美元)","LU0119620416","核心基金","RR3"
"口袋西施","西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","C0109017","PGIM全球精選不動產證券基金A美元季配息型","IE00BMQ64708","核心基金","RR4"
"口袋西施","西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","C0016140","富達基金-全球聚焦基金(A股歐元)","LU0157922724","核心基金","RR3"
"口袋西施","西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","C0025042","安聯全球永續發展基金-A配息類股(美元)","LU0158827948","衛星基金","RR3"
"口袋西施","西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","81584335","摩根台灣金磚基金","TW0008158435","衛星基金","RR4"
"口袋西施","西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","C0054007","法盛漢瑞斯美國股票基金-R/A美元級別","LU0130102774","衛星基金","RR4"
"口袋西施","西施犬型投資人講究生活品質與節奏，不急著進出市場。穩健、管理風格一致的基金，讓資產在不被打擾的狀態下，優雅累積。","0061","元大寶滬深","TW00000061A2","ETF","RR5"
"口袋邊牧","邊境牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","C0016030","富達基金-全球科技基金(A股歐元)","LU0099574567","核心基金","RR4"
"口袋邊牧","邊境牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","C0115024","法盛AI及機器人基金-R/A美元級別","LU1923623000","核心基金","RR4"
"口袋邊牧","邊境牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","92017204","元大台灣高股息優質龍頭基金","TW0009201720","核心基金","RR4"
"口袋邊牧","邊境牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","C0025280","安聯AI人工智慧基金-AMf2固定月配類股(美元)","LU2664909848","衛星基金","RR4"
"口袋邊牧","邊境牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","98642423","保德信科技島基金","TW000T0815Y7","衛星基金","RR4"
"口袋邊牧","邊境牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","C0125001","安盛環球基金-數位經濟基金A CAP美元","LU1694771590","衛星基金","RR4"
"口袋邊牧","邊境牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","009810","保德信金融特選","TW0000098105","ETF","RR4"
"口袋濟斯","馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","C0019001","匯豐環球投資基金-印度股票AD","LU0066902890","核心基金","RR5"
"口袋濟斯","馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","C0109017","PGIM全球精選不動產證券基金A美元季配息型","IE00BMQ64708","核心基金","RR4"
"口袋濟斯","馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","92017204","元大台灣高股息優質龍頭基金","TW0009201720","核心基金","RR4"
"口袋濟斯","馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","C0038001","摩根士丹利拉丁美洲股票基金A(美元)","LU0073231317","衛星基金","RR5"
"口袋濟斯","馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","C0115005","摩根大龍騰基金","TW000C011502","衛星基金","RR4"
"口袋濟斯","馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","C0026063","摩根基金-全方位新興市場基金-JPM全方位新興市場(美元)-A股(分派)","LU0053685615","衛星基金","RR5"
"口袋濟斯","馬爾濟斯型投資人資金規模不一定大，但對世界充滿好奇。他們偏好低門檻、可探索不同市場的基金配置，在控制風險的前提下，體驗投資帶來的視野擴張。","00850","元大臺灣ESG永續","TW00000850B1","ETF","RR4"
"口袋貴賓","貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","C0016049","富達基金-全球消費品牌基金(A股歐元)","LU0114721508","核心基金","RR4"
"口袋貴賓","貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","98638122","保德信高成長基金","TW000T0803Y3","核心基金","RR4"
"口袋貴賓","貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","C0115029","法盛Mirova基金-法盛全球永續股票基金R/A NPF美元級別","LU1623119135","核心基金","RR4"
"口袋貴賓","貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","98642423","保德信科技島基金","TW000T0815Y7","衛星基金","RR4"
"口袋貴賓","貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","C0025209","安聯寵物新經濟基金-AT累積類股(歐元)","LU1931535931","衛星基金","RR3"
"口袋貴賓","貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","C0101036","摩根基金-基因治療主題基金-JPM基因治療主題(美元)-A股(累積)","LU2050612402","衛星基金","RR4"
"口袋貴賓","貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","006201","元大富櫃50","TW0000062016","ETF","RR4"
"口袋吉娃","吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度。","92017204","元大台灣高股息優質龍頭基金","TW0009201720","核心基金","RR4"
"口袋吉娃","吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度。","C0109017","PGIM全球精選不動產證券基金A美元季配息型","IE00BMQ64708","核心基金","RR4"
"口袋吉娃","吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度。","C0026065","摩根基金-亞太入息基金-JPM亞太入息(美元)-A股(分派)","LU0117844026","核心基金","RR3"
"口袋吉娃","吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度。","C0115005","摩根大龍騰基金","TW000C011502","衛星基金","RR4"
"口袋吉娃","吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度。","C0025223","安聯全球收益成長基金-AMf2固定月配類股(美元)","LU2417539215","衛星基金","RR3"
"口袋吉娃","吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度。","C0026212","摩根投資基金-核心總報酬基金-JPM核心總報酬(美元)-A股(累計)","LU0235842555","衛星基金","RR3"
"口袋吉娃","吉娃娃型投資人情緒敏感、反應快速，容易受市場波動影響。透過分散配置與小額定期投入的基金策略，有助於在高壓情緒中維持投資穩定度。","00910","保德信科技特選","TW0000009101","ETF","RR5"
